,Title,US Release,Co-production companies
L,Alice in Wonderland,5-Mar-10,"The Zanuck Company, Roth Films and Team Todd"
D,Waking Sleeping Beauty,26-Mar-10,Stone Circle Pictures
N,Oceans,22-Apr-10,Participant Media
L,Prince of Persia: The Sands of Time,28-May-10,Jerry Bruckheimer Films
A,Toy Story 3,18-Jun-10,Pixar Animation Studios
L,The Sorcerer's Apprentice,14-Jul-10,"Jerry Bruckheimer Films, Saturn Films, and Broken Road Productions"
N,The Crimson Wing: Mystery of the Flamingos,7-Sep-10,"Disneynature, Kudos Pictures, Kudos Film and Television, and Natural Light Films"
L,Secretariat,8-Oct-10,Mayhem Pictures
L,Do Dooni Chaar,8-Oct-10,"Planman Motion Pictures, Disney India, and Disney World Cinema"
A,Tangled,24-Nov-10,Walt Disney Animation Studios
D,The Boys: The Sherman Brothers' Story,30-Nov-10,"Crescendo Productions, Red Hour Films, and Traveling Light"
L,Tron: Legacy,17-Dec-10,Sean Bailey Productions
L,Anaganaga O Dheerudu,21-Jan-11,"A Bellyful of Dreams Entertainment, Arka Media Works, Disney India, and Disney World Cinema"
L,Lilly the Witch: The Journey to Mandolan,17-Feb-11,
A,Mars Needs Moms,11-Mar-11,ImageMovers Digital
L,Zokkomon,22-Apr-11,"Disney India, and Disney World Cinema"
N,African Cats,22-Apr-11,"Disneynature, Fothergill / Scholey Productions, and Silverback Films[3]"
L,Prom,29-Apr-11,
L,Pirates of the Caribbean: On Stranger Tides,20-May-11,Jerry Bruckheimer Films
A,Cars 2,24-Jun-11,Pixar Animation Studios
A,Winnie the Pooh,15-Jul-11,Walt Disney Animation Studios
L,The Muppets,23-Nov-11,Mandeville Films
L,John Carter,9-Mar-12,
N,Chimpanzee,20-Apr-12,"Disneynature, and Great Ape Productions"
A,Arjun: The Warrior Prince,25-May-12,"Disney India, Disney World Cinema, and UTV Motion Pictures"
A,Brave,22-Jun-12,Pixar Animation Studios
L,The Odd Life of Timothy Green,15-Aug-12,"Monsterfoot Productions, and Scott Sanders Productions"
A,Frankenweenie,5-Oct-12,Tim Burton Productions
A,Wreck-It Ralph,2-Nov-12,Walt Disney Animation Studios
L,Oz the Great and Powerful,8-Mar-13,"Roth Films, and Curtis-Donen Productions"
N,Wings of Life,16-Apr-13,"Disneynature, and Blacklight Films"
A,Monsters University,21-Jun-13,Pixar Animation Studios
L,The Lone Ranger,3-Jul-13,"Jerry Bruckheimer Films, Blind Wink, and Infinitum Nihil"
A,Planes,9-Aug-13,DisneyToon Studios
A,Frozen,27-Nov-13,Walt Disney Animation Studios
L,Saving Mr. Banks,13-Dec-13,"BBC Films, Essential Media and Entertainment, Ruby Films, and Hopscotch Features"
L,Muppets Most Wanted,21-Mar-14,Mandeville Films
N,Bears,18-Apr-14,"Disneynature, and Silverback films[4]"
L,Million Dollar Arm,16-May-14,"Roth Films, and Mayhem Pictures"
L,Maleficent,30-May-14,Roth Films
A,Planes: Fire & Rescue,18-Jul-14,DisneyToon Studios
L,Khoobsurat,19-Sep-14,"UTV Motion Pictures, Disney India, and Anil Kapoor Films"
L,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",10-Oct-14,"21 Laps Entertainment, and The Jim Henson Company"
A,Big Hero 6,7-Nov-14,Walt Disney Animation Studios
L,Into the Woods,25-Dec-14,"Lucamar Productions, and Marc Platt Productions"
L,"McFarland, USA",20-Feb-15,Mayhem Pictures
L,Cinderella,13-Mar-15,Genre Films
N,Monkey Kingdom,17-Apr-15,"Disneynature, and Silverback Films[5]"
L,Tomorrowland,22-May-15,A113 Productions
A,Inside Out,19-Jun-15,Pixar Animation Studios
L,ABCD 2,19-Jun-15,"UTV Motion Pictures, and Disney India"
A,The Good Dinosaur,25-Nov-15,Pixar Animation Studios
L,The Finest Hours,29-Jan-16,"Whitaker Entertainment, and Red Hawk Entertainment"
A,Zootopia,4-Mar-16,Walt Disney Animation Studios
L,The Jungle Book,15-Apr-16,Fairview Entertainment
L,Tini: The Movie,6-May-16,Gloriamundi Producciones and Lapis Films
L,Alice Through the Looking Glass,27-May-16,"Roth Films, Team Todd, and Tim Burton Productions"
A,Finding Dory,17-Jun-16,Pixar Animation Studios
L,The BFG,1-Jul-16,"Amblin Entertainment, Reliance Entertainment, Walden Media, and The Kennedy/Marshall Company"
L,Pete's Dragon,12-Aug-16,Whitaker Entertainment
L,Queen of Katwe,23-Sep-16,"ESPN Films, Cine Mosaic, and Mirabai Films"
A,Moana,23-Nov-16,Walt Disney Animation Studios
N,Growing Up Wild,6-Dec-16,"Disneynature, and Silverback Films[6]"
L,Dangal,21-Dec-16,"Disney India, UTV Motion Pictures, and Aamir Khan Productions"
N,L'Empereur - March of the Penguins 2: The Next Step,15-Feb-17,"Disneynature, Bonne Pioche Cinéma, Paprika Films, Wild-Touch Productions, OCS, France 3 Cinéma, and Hulu Originals"
L,Beauty and the Beast,17-Mar-17,Mandeville Films
N,Born in China,21-Apr-17,"Disneynature, Shanghai Media Group, Chuan Films, and Brian Leith Productions"
L,Pirates of the Caribbean: Dead Men Tell No Tales,26-May-17,Jerry Bruckheimer Films
A,Cars 3,16-Jun-17,Pixar Animation Studios
N,Ghost of the Mountains,30-Jun-17,"Disneynature, Netflix Original Documentaries, and Brian Leith Productions[7]"
L,Jagga Jasoos,14-Jul-17,"Disney India, UTV Motion Pictures, Picture Shuru Entertainment, and Ishana Movies"
A,Coco,22-Nov-17,Pixar Animation Studios
N,Expedition China,27-Dec-17,"Disneynature, Netflix Original Documentaries, and Brian Leith Productions[7]"
L,A Wrinkle in Time,9-Mar-18,Whitaker Entertainment
A,Incredibles 2,15-Jun-18,Pixar Animation Studios
L,Christopher Robin,3-Aug-18,2DUX²
L,The Nutcracker and the Four Realms,2-Nov-18,The Mark Gordon Company
A,Ralph Breaks the Internet,21-Nov-18,Walt Disney Animation Studios
H,Mary Poppins Returns,19-Dec-18,"Lucamar Productions, and Marc Platt Productions"
L,Dumbo,29-Mar-19,"Tim Burton Productions, Infinite Detective Productions, and Secret Machine Entertainment"
N,Penguins,17-Apr-19,Disneynature and Silverback Films
L,Aladdin,24-May-19,"Lin Pictures, Rideback and Marc Platt Productions"
A,Toy Story 4,21-Jun-19,Pixar Animation Studios
A,The Lion King,19-Jul-19,Fairview Entertainment
L,Maleficent: Mistress of Evil,18-Oct-19,Roth Films
L,Lady and the Tramp,12-Nov-19,Taylor Made
L,Noelle,12-Nov-19,
A,Frozen II,22-Nov-19,Walt Disney Animation Studios
D,One Day at Disney,3-Dec-19,"Disney Publishing Worldwide, and Endeavor Content"
L,Togo,20-Dec-19,
